"Client","Total","Subsidiary (Lobbied For)","Industry"
"1 Nation Inc","$240000","-","Unknown Business"
"280 Earth","$50000","-","Environmental Svcs"
"Acuity Brands Lighting","$10000","-","Misc Mfg/Distrib"
"Alliant Energy","$200000","-","Electric Utilities"
"American Gas Assn","$120000","-","Oil & Gas"
"Ameripen","$60000","-","Misc Mfg/Distrib"
"Aquestive Therapeutics","$50000","-","Pharm/Health Prod"
"Association of Metropolitan Water Agencies","$100000","-","Misc Energy"
"Assured Guaranty Corp","$100000","-","Insurance"
"Baldwin Group (Florida)","$310000","-","Insurance"
"Berkshire Hathaway","$320000","Berkshire Hathaway Energy","Electric Utilities"
"Caesars Entertainment","$300000","-","Casinos/Gambling"
"Carbon Capture Inc","$150000","-","Environmental Svcs"
"Carbon Geocapture","$80000","-","Renewable Energy"
"Centerra Gold","$130000","-","Mining"
"Cherokee Nation of Oklahoma","$400000","-","Casinos/Gambling"
"Commercial Real Estate Finance Council","$160000","-","Real Estate"
"Common App","$120000","-","Unknown Business"
"Council of Insurance Agents & Brokers","$180000","-","Insurance"
"Crosslake Machining","<$5000","-","Unknown Business"
"Deloitte LLP","$240000","-","Accountants"
"Digital Currency Group","$50000","-","Securities/Invest"
"Dongwon Industries","$240000","StarKist","Food & Beverage"
"Early Warning Services","$40000","-","Misc Finance"
"Echostar Corp","$20000","DISH Network","TV/Movies/Music"
"Economic Innovation Group","$70000","-","Non-Profits"
"Equitable Holdings","<$5000","-","Securities/Invest"
"Exxon Mobil","$20000","-","Oil & Gas"
"George Kaiser Family Foundation","$200000","-","Non-Profits"
"HIF Global","$160000","-","Renewable Energy"
"Horizon3.AI","$120000","-","Unknown Business"
"Independent Dealer Trader Assn","$20000","-","Business Assns"
"Island Global Yachting","$150000","-","Sea Transport"
"Ivim Health","$120000","-","Pharm/Health Prod"
"KKR & Co","<$5000","1-800 Contacts","Health Services"
"Lake Charles Methanol","$90000","-","Oil & Gas"
"Medline Industries","$160000","-","Pharm/Health Prod"
"National Assn of Clean Water Agencies","$120000","-","Misc Energy"
"National Assn of Insurance & Financial Advisors","$70000","-","Insurance"
"Nepa Wholesale","$360000","-","Unknown Business"
"New York University","$80000","-","Education"
"OU Health","$60000","-","Misc Health"
"OU Health","$20000","OU Medicine","Hospitals/Nurs Homes"
"Pantheon Data","$300000","-","Electronics Mfg/Eqp"
"Peace Officers Research Assn of CA","$200000","-","Public Sector Unions"
"Pilatus Aircraft","$750000","-","Air Transport"
"Prudential Financial","$60000","-","Insurance"
"Renco Manufacturing Group","$310000","-","Misc Mfg/Distrib"
"Securities Investor Protection Corp","<$5000","-","Securities/Invest"
"Smith & Wesson","$100000","-","Misc Mfg/Distrib"
"Therabody Inc","$70000","-","Unknown Business"
"Travelers Companies","$60000","-","Insurance"
"University of Oklahoma","$220000","-","Education"
"University of Tulsa","$200000","-","Education"
"Velico Medical","$180000","-","Pharm/Health Prod"
"VGR Holding","<$5000","Liggett Vector Brands","Tobacco"
"Vici Properties","$320000","Venetian Casino Resort","Casinos/Gambling"
"Wacker Chemie","$800000","Wacker Polysilicon North America","Electronics Mfg/Eqp"
"Wikimedia Foundation","$90000","-","Internet"
"Xcaliber International","$280000","-","Tobacco"
